Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2020-01-02,71.7210264890596,72.77660582997152,71.46681974859514,72.71607971191406,135480400,0.0,0.0,AAPL
2020-01-03,71.9413434276417,72.77176000550182,71.78397699623217,72.0091323852539,146322800,0.0,0.0,AAPL
2020-01-06,71.12784353126138,72.62162332723783,70.87605292265371,72.5828857421875,118387200,0.0,0.0,AAPL
2020-01-07,72.59259363206662,72.84922374466596,72.02123070618616,72.24154663085938,108872000,0.0,0.0,AAPL
2020-01-08,71.94374389134458,73.70626361557562,71.94374389134458,73.40363311767578,132079200,0.0,0.0,AAPL
2020-01-09,74.38415077218049,75.15646437101954,74.13236752506255,74.96278381347656,170108400,0.0,0.0,AAPL
2020-01-10,75.19765137920673,75.69880941545972,74.6287043855216,75.13227844238281,140644800,0.0,0.0,AAPL
2020-01-13,75.44943665950792,76.76406209011934,75.33080045122755,76.7374267578125,121532000,0.0,0.0,AAPL
2020-01-14,76.67446681398555,76.88509646087522,75.57773417210761,75.70120239257812,161954400,0.0,0.0,AAPL
2020-01-15,75.50028381601487,76.38396369325629,74.94343907710318,75.3768081665039,121923600,0.0,0.0,AAPL
2020-01-16,75.92152071901803,76.43236486391163,75.55836410557868,76.32099151611328,108829200,0.0,0.0,AAPL
2020-01-17,76.57034960714971,77.16834772132155,76.26287970437025,77.16593170166016,137816400,0.0,0.0,AAPL
2020-01-21,76.79310894375465,77.23615682397768,76.50500406521856,76.64300537109375,110843200,0.0,0.0,AAPL
2020-01-22,77.12964119289799,77.4710093927943,76.82217116630478,76.91659545898438,101832400,0.0,0.0,AAPL
2020-01-23,76.96984634011159,77.3668937772688,76.42026453610515,77.28700256347656,104472000,0.0,0.0,AAPL
2020-01-24,77.5339302350096,78.2796084989247,76.87298259611883,77.06424713134766,146537600,0.0,0.0,AAPL
2020-01-27,75.06689673049003,75.48089322464955,73.81279759380895,74.79816436767578,161940000,0.0,0.0,AAPL
2020-01-28,75.6818509443487,77.08605376922371,75.58258723533865,76.9141616821289,162234000,0.0,0.0,AAPL
2020-01-29,78.55077473001256,79.37392820388496,77.80751245640747,78.52413940429688,216229200,0.0,0.0,AAPL
2020-01-30,77.60415017442514,78.46361788035526,77.1707812088342,78.41035461425781,126743200,0.0,0.0,AAPL
2020-01-31,77.69856694811635,78.12224966790679,74.63837103116171,74.9337387084961,199588400,0.0,0.0,AAPL
2020-02-03,73.67237193822604,75.89731214570682,73.16879799630816,74.72795104980469,173788400,0.0,0.0,AAPL
2020-02-04,76.33794039127015,77.38625661675313,75.93120675854502,77.19499206542969,136616400,0.0,0.0,AAPL
2020-02-05,78.32562106551018,78.62583557722229,77.21920945636545,77.82447052001953,118826800,0.0,0.0,AAPL
